date,index_close,foreign,foreign_dealer,trust,dealer_self,dealer_hedge,total,mtx_market_oi,mtx_retail_long,mtx_retail_short,mtx_retail_ratio,tmf_market_oi,tmf_retail_long,tmf_retail_short,tmf_retail_ratio
2026-07-09,45354.61,-472.53,0.0,199.01,-20.36,-56.35,-350.23,42643,33812,29241,10.72,96356,78306,38227,41.59
2026-07-13,45380.52,-195.6,0.0,125.79,-19.64,-91.34,-180.8,42950,30931,29613,3.07,90430,71464,36050,39.16
2026-07-14,44737.95,-518.93,0.0,110.02,-13.06,-369.85,-791.82,43547,33212,26324,15.82,99893,81581,32371,49.26
2026-07-15,45631.59,-14.15,0.0,125.36,64.2,37.06,212.47,38688,34883,27074,20.18,73793,68881,47294,29.25
2026-07-16,45624.98,-483.35,0.0,86.45,12.15,-45.73,-430.47,35655,31857,20909,30.71,74882,70044,25282,59.78
2026-07-17,42671.27,-1883.15,0.0,73.47,-100.75,-721.05,-2631.47,41763,37999,26223,28.2,106712,103243,23873,74.38
2026-07-20,42449.7,-60.84,0.0,163.22,5.64,-86.28,21.74,36898,31849,21397,28.33,88072,82886,26767,63.72
2026-07-21,44232.87,-43.32,0.0,171.14,13.97,21.1,162.89,39503,30923,25433,13.9,80640,69715,40245,36.55
2026-07-22,44825.78,173.44,0.0,189.03,-34.55,10.57,338.49,33909,29010,21498,22.15,75105,62175,42711,25.92
2026-07-23,44850.81,69.58,0.0,73.7,29.67,12.27,185.22,33152,28132,20484,23.07,73559,61208,40847,27.68
2026-07-24,43654.84,-609.5,0.0,47.63,2.76,-114.27,-673.38,33718,31152,18702,36.92,82821,75542,32604,51.84
2026-07-27,43634.19,80.4,0.0,4.81,-4.42,-74.15,6.65,35198,31845,21224,30.18,82256,76211,32068,53.67
2026-07-28,41603.36,-874.85,0.0,16.12,-12.26,-305.04,-1176.03,39683,36470,24914,29.12,99948,96518,24167,72.39
2026-07-29,40039.18,-222.52,0.0,57.06,-10.23,-175.76,-351.45,40642,33670,26676,17.21,97931,93715,22744,72.47
2026-07-30,39933.3,-483.12,0.0,139.97,-5.04,-147.22,-495.41,40087,30879,26783,10.22,90534,84179,25822,64.46
2026-07-31,43119.75,675.54,0.0,360.2,57.41,-220.0,873.14,33583,27944,20557,22.0,74020,60275,41484,25.39
2026-08-03,43386.41,-191.91,0.0,233.25,-58.27,-148.27,-165.2,34609,29210,22449,19.54,79970,67195,31844,44.21
2026-08-04,43360.66,-57.32,0.0,271.65,-86.74,-107.54,20.05,34815,27128,23133,11.47,78915,64169,35681,36.1
2026-08-05,44611.6,903.08,0.0,112.66,-23.27,37.84,1030.31,32730,26820,20536,19.2,79518,58789,42275,20.77
2026-08-06,44396.7,20.2,0.0,94.08,-1.05,-62.08,51.15,33383,28629,17845,32.3,81423,66829,36569,37.16
2026-08-07,44225.91,-407.16,0.0,-12.02,7.17,-16.86,-428.86,31852,27029,18308,27.38,79555,63816,38512,31.81
2026-08-10,44928.76,517.41,0.0,34.01,52.78,131.9,736.1,34357,28577,18806,28.44,80921,64632,41068,29.12
2026-08-11,45120.72,223.29,0.0,32.24,10.55,14.06,280.13,34975,28926,19136,27.99,83634,63987,43919,24.0
2026-08-12,45518.07,110.21,0.0,22.76,11.21,75.8,219.98,34666,28164,21079,20.44,83610,60156,49916,12.25
2026-08-13,46021.48,756.95,0.0,-15.02,32.58,118.03,892.54,34538,28278,20369,22.9,82671,62925,50042,15.58
2026-08-14,45811.01,453.51,0.0,79.73,-27.36,10.75,516.63,34882,27501,20521,20.01,79417,63026,47006,20.17
2026-08-17,45857.27,454.47,0.0,-177.77,35.4,-21.35,290.76,35627,28147,21031,19.97,77649,59602,52121,9.63
2026-08-18,45308.68,-119.86,0.0,38.27,-21.73,-154.34,-257.66,36253,28779,19283,26.19,80164,67971,43039,31.1
2026-08-19,44719.35,-416.39,0.0,-166.01,-39.62,-131.56,-753.59,34223,30371,21407,26.19,79929,76319,47270,36.34
2026-08-20,44933.74,73.18,0.0,-20.48,-21.92,-39.16,-8.38,29532,25896,16738,31.01,68099,63237,37678,37.53
2026-08-21,45224.29,283.05,0.0,21.01,29.1,0.13,333.29,31690,27424,18410,28.44,70309,61279,42825,26.25
2026-08-24,44762.32,-157.36,0.0,30.55,-0.15,-43.18,-170.14,31628,27601,17686,31.35,75853,69192,40349,38.02
2026-08-25,45169.46,-7.87,0.0,-39.84,9.97,-9.37,-47.11,33646,28428,22738,16.91,79933,67848,43418,30.56
2026-08-26,45832.62,366.13,0.0,33.66,47.39,131.95,579.13,37429,28551,27607,2.52,77736,54385,53663,0.93
2026-08-27,45975.22,490.94,0.0,-14.5,59.83,90.52,626.79,34823,29344,24944,12.64,80829,58348,50894,9.22
2026-08-28,46331.45,417.54,0.0,-1.97,1.35,41.36,458.28,35158,28681,26051,7.48,80333,56695,54013,3.34
2026-08-31,46128.47,-143.92,0.0,-40.0,-11.79,-62.74,-258.46,35341,28948,23960,14.11,86515,64223,44893,22.34
2026-09-01,46948.72,267.08,0.0,136.0,31.57,131.72,566.37,37613,27780,29112,-3.54,87646,49923,65020,-17.22
2026-09-02,46164.72,-913.55,0.0,-35.28,1.56,-205.18,-1152.44,40774,34540,30658,9.52,105729,83503,48665,32.95
2026-09-03,45857.66,-481.46,0.0,6.94,-56.79,-110.29,-641.6,39167,30870,30483,0.99,100203,73075,47390,25.63
2026-09-04,46551.13,562.13,0.0,-9.11,15.06,48.64,616.72,41567,30403,33649,-7.81,95151,64211,50440,14.47
2026-09-07,47326.27,883.08,0.0,87.24,59.72,97.16,1127.19,,,,,,,,
2026-09-08,47105.78,132.69,0.0,-72.43,-28.85,-156.55,-125.15,,,,,,,,
2026-09-09,47183.36,209.24,0.0,20.85,-12.18,-6.66,211.25,,,,,,,,
2026-09-10,46940.49,-383.34,0.0,33.51,-35.61,-102.03,-487.47,,,,,,,,
2026-09-11,46184.85,-892.7,0.0,82.14,-50.39,-251.62,-1112.59,,,,,,,,
